antecedent,consequent,support,antecedent_support,consequent_support,confidence
semi-finished bread,whole milk,0.001670787943594199,0.009490075519615051,0.15792287642852368,0.176056338028169
detergent,whole milk,0.001403461872619127,0.008621265788946068,0.15792287642852368,0.16279069767441862
ham,whole milk,0.0027400922274944863,0.0171088685424046,0.15792287642852368,0.16015625
bottled beer,whole milk,0.007150972398583172,0.04531176903027468,0.15792287642852368,0.15781710914454278
frozen fish,whole milk,0.0010693042839002875,0.006816814809864332,0.15792287642852368,0.1568627450980392
candy,whole milk,0.002138608567800575,0.014368776314910112,0.15792287642852368,0.14883720930232558
sausage,whole milk,0.008955423377664907,0.06034886052262247,0.15792287642852368,0.14839424141749724
onions,whole milk,0.0029405867807257902,0.02024994987636169,0.15792287642852368,0.14521452145214522
processed cheese,rolls/buns,0.0014702933903628951,0.01015839069705273,0.11000467820624206,0.14473684210526316
processed cheese,whole milk,0.0014702933903628951,0.01015839069705273,0.15792287642852368,0.14473684210526316
newspapers,whole milk,0.005613847490476508,0.038895943326872955,0.15792287642852368,0.14432989690721648
domestic eggs,whole milk,0.005279689901757669,0.037091492347791216,0.15792287642852368,0.14234234234234233
packaged fruit/vegetables,rolls/buns,0.0012029673193878234,0.00848760275345853,0.11000467820624206,0.14173228346456693
seasonal products,rolls/buns,0.0010024727661565194,0.007084140880839404,0.11000467820624206,0.14150943396226415
cat food,whole milk,0.001670787943594199,0.011829178640646929,0.15792287642852368,0.14124293785310735
waffles,whole milk,0.0026064291920069507,0.018512330415023724,0.15792287642852368,0.1407942238267148
hamburger meat,whole milk,0.0030742498162133263,0.021853906302212123,0.15792287642852368,0.14067278287461774
frankfurter,whole milk,0.005279689901757669,0.037759807525228894,0.15792287642852368,0.13982300884955753
sugar,whole milk,0.0024727661565194146,0.01771035220209851,0.15792287642852368,0.13962264150943396
chewing gum,whole milk,0.001670787943594199,0.012029673193878232,0.15792287642852368,0.1388888888888889
beef,whole milk,0.004678206242063757,0.03395041101383412,0.15792287642852368,0.1377952755905512
flour,whole milk,0.0013366303548753592,0.009757401590590123,0.15792287642852368,0.136986301369863
frankfurter,other vegetables,0.005146026866270133,0.037759807525228894,0.12210118291786407,0.13628318584070798
frozen vegetables,whole milk,0.003809396511394774,0.028002405934638777,0.15792287642852368,0.1360381861575179
pork,whole milk,0.005012363830782597,0.037091492347791216,0.15792287642852368,0.13513513513513514
pip fruit,whole milk,0.006616320256633028,0.049054334023925686,0.15792287642852368,0.13487738419618528
citrus fruit,whole milk,0.007150972398583172,0.05313105660629553,0.15792287642852368,0.13459119496855346
long life bakery product,whole milk,0.0024059346387756467,0.017910846755329814,0.15792287642852368,0.13432835820895522
grapes,whole milk,0.0019381140145692708,0.01443560783265388,0.15792287642852368,0.13425925925925927
shopping bags,whole milk,0.006348994185657956,0.04758404063356279,0.15792287642852368,0.13342696629213482
butter,whole milk,0.004678206242063757,0.03522020985096572,0.15792287642852368,0.13282732447817835
pasta,whole milk,0.0010693042839002875,0.008086613646995923,0.15792287642852368,0.1322314049586777
meat,whole milk,0.002205440085544343,0.016841542471429525,0.15792287642852368,0.13095238095238096
white bread,whole milk,0.003141081333957094,0.023992514870012697,0.15792287642852368,0.1309192200557103
oil,whole milk,0.0019381140145692708,0.014903428456860256,0.15792287642852368,0.13004484304932734
yogurt,whole milk,0.011160863463209249,0.08587850030074183,0.15792287642852368,0.12996108949416343
fruit/vegetable juice,whole milk,0.004410880171088686,0.03401724253157789,0.15792287642852368,0.12966601178781925
canned beer,whole milk,0.006014836596939116,0.04691572545612511,0.15792287642852368,0.1282051282051282
pot plants,whole milk,0.0010024727661565194,0.007819287576020852,0.15792287642852368,0.1282051282051282
pot plants,other vegetables,0.0010024727661565194,0.007819287576020852,0.12210118291786407,0.1282051282051282
ice cream,whole milk,0.0019381140145692708,0.015170754527835327,0.15792287642852368,0.1277533039647577
frozen meals,other vegetables,0.002138608567800575,0.016774710953685757,0.12210118291786407,0.12749003984063745
red/blush wine,rolls/buns,0.0013366303548753592,0.01049254828577157,0.11000467820624206,0.12738853503184713
hard cheese,whole milk,0.001871282496825503,0.01470293390362895,0.15792287642852368,0.12727272727272726
meat,other vegetables,0.002138608567800575,0.016841542471429525,0.12210118291786407,0.12698412698412698
rolls/buns,whole milk,0.013967787208447505,0.11000467820624206,0.15792287642852368,0.12697448359659783
hygiene articles,whole milk,0.0017376194613379669,0.013700461137472432,0.15792287642852368,0.12682926829268293
soft cheese,yogurt,0.0012697988371315912,0.010024727661565194,0.08587850030074183,0.12666666666666668
margarine,whole milk,0.0040767225823698456,0.03221279155249616,0.15792287642852368,0.12655601659751037
pastry,whole milk,0.006482657221145492,0.0517275947336764,0.15792287642852368,0.12532299741602068
chocolate,whole milk,0.0029405867807257902,0.02359152576355009,0.15792287642852368,0.12464589235127478
detergent,yogurt,0.0010693042839002875,0.008621265788946068,0.08587850030074183,0.12403100775193798
curd,whole milk,0.004143554100113613,0.03368308494285905,0.15792287642852368,0.12301587301587301
berries,other vegetables,0.0026732607097507185,0.021787074784468355,0.12210118291786407,0.12269938650306748
chicken,whole milk,0.003408407404932166,0.027868742899151238,0.15792287642852368,0.1223021582733813
other vegetables,whole milk,0.014836596939116486,0.12210118291786407,0.15792287642852368,0.12151067323481117
cream cheese,whole milk,0.0028737552629820224,0.023658357281293858,0.15792287642852368,0.12146892655367232
tropical fruit,whole milk,0.008220276682483459,0.0677671589921807,0.15792287642852368,0.12130177514792899
oil,soda,0.001804450979081735,0.014903428456860256,0.09710619528169484,0.1210762331838565
oil,other vegetables,0.001804450979081735,0.014903428456860256,0.12210118291786407,0.1210762331838565
coffee,whole milk,0.003809396511394774,0.03161130789280225,0.15792287642852368,0.12050739957716702
soft cheese,whole milk,0.0012029673193878234,0.010024727661565194,0.15792287642852368,0.12
soft cheese,other vegetables,0.0012029673193878234,0.010024727661565194,0.12210118291786407,0.12
soda,whole milk,0.011628684087415625,0.09710619528169484,0.15792287642852368,0.11975223675154852
specialty bar,whole milk,0.001670787943594199,0.013967787208447505,0.15792287642852368,0.11961722488038277
specialty bar,other vegetables,0.001670787943594199,0.013967787208447505,0.12210118291786407,0.11961722488038277
brown bread,whole milk,0.004477711688832453,0.03762614448974136,0.15792287642852368,0.11900532859680284
chocolate,rolls/buns,0.002806923745238254,0.02359152576355009,0.11000467820624206,0.11898016997167139
UHT-milk,whole milk,0.0025395976742631824,0.021386085678005748,0.15792287642852368,0.11875
bottled water,whole milk,0.007150972398583172,0.06068301811134131,0.15792287642852368,0.11784140969162996
salty snack,other vegetables,0.002205440085544343,0.018779656485998796,0.12210118291786407,0.11743772241992882
beverages,whole milk,0.0019381140145692708,0.016574216400454454,0.15792287642852368,0.11693548387096774
chewing gum,yogurt,0.001403461872619127,0.012029673193878232,0.08587850030074183,0.11666666666666667
detergent,rolls/buns,0.0010024727661565194,0.008621265788946068,0.11000467820624206,0.11627906976744186
frozen meals,whole milk,0.0019381140145692708,0.016774710953685757,0.15792287642852368,0.11553784860557768
ice cream,rolls/buns,0.0017376194613379669,0.015170754527835327,0.11000467820624206,0.1145374449339207
hard cheese,other vegetables,0.001670787943594199,0.01470293390362895,0.12210118291786407,0.11363636363636363
hard cheese,rolls/buns,0.001670787943594199,0.01470293390362895,0.11000467820624206,0.11363636363636363
beverages,soda,0.001871282496825503,0.016574216400454454,0.09710619528169484,0.11290322580645161
frozen vegetables,other vegetables,0.003141081333957094,0.028002405934638777,0.12210118291786407,0.11217183770883055
pickled vegetables,whole milk,0.0010024727661565194,0.008955423377664907,0.15792287642852368,0.11194029850746269
grapes,other vegetables,0.001603956425850431,0.01443560783265388,0.12210118291786407,0.1111111111111111
fruit/vegetable juice,rolls/buns,0.003742564993651006,0.03401724253157789,0.11000467820624206,0.1100196463654224
flour,tropical fruit,0.0010693042839002875,0.009757401590590123,0.0677671589921807,0.1095890410958904
napkins,whole milk,0.0024059346387756467,0.022121232373187194,0.15792287642852368,0.10876132930513595
white bread,other vegetables,0.0026064291920069507,0.023992514870012697,0.12210118291786407,0.10863509749303621
white wine,whole milk,0.0012697988371315912,0.011695515605159393,0.15792287642852368,0.10857142857142857
root vegetables,whole milk,0.00755196150504578,0.06957160997126245,0.15792287642852368,0.10854947166186359
red/blush wine,other vegetables,0.0011361358016440553,0.01049254828577157,0.12210118291786407,0.10828025477707007
herbs,yogurt,0.0011361358016440553,0.010559379803515338,0.08587850030074183,0.10759493670886076
herbs,whole milk,0.0011361358016440553,0.010559379803515338,0.15792287642852368,0.10759493670886076
pork,other vegetables,0.00394305954688231,0.037091492347791216,0.12210118291786407,0.1063063063063063
semi-finished bread,other vegetables,0.0010024727661565194,0.009490075519615051,0.12210118291786407,0.1056338028169014
whipped/sour cream,whole milk,0.004611374724319989,0.043707812604424245,0.15792287642852368,0.10550458715596331
processed cheese,root vegetables,0.0010693042839002875,0.01015839069705273,0.06957160997126245,0.10526315789473684
curd,other vegetables,0.003542070440419702,0.03368308494285905,0.12210118291786407,0.10515873015873016
beverages,other vegetables,0.0017376194613379669,0.016574216400454454,0.12210118291786407,0.10483870967741936
sliced cheese,whole milk,0.0014702933903628951,0.014034618726191272,0.15792287642852368,0.10476190476190476
specialty chocolate,other vegetables,0.001670787943594199,0.015972732740760543,0.12210118291786407,0.10460251046025104
berries,whole milk,0.0022722716032881106,0.021787074784468355,0.15792287642852368,0.10429447852760736
shopping bags,other vegetables,0.004945532313038829,0.04758404063356279,0.12210118291786407,0.10393258426966293
bottled beer,other vegetables,0.004678206242063757,0.04531176903027468,0.12210118291786407,0.10324483775811209
salty snack,whole milk,0.0019381140145692708,0.018779656485998796,0.15792287642852368,0.10320284697508897
salty snack,rolls/buns,0.0019381140145692708,0.018779656485998796,0.11000467820624206,0.10320284697508897
chicken,rolls/buns,0.0028737552629820224,0.027868742899151238,0.11000467820624206,0.10311750599520383
hygiene articles,other vegetables,0.001403461872619127,0.013700461137472432,0.12210118291786407,0.1024390243902439
candy,rolls/buns,0.0014702933903628951,0.014368776314910112,0.11000467820624206,0.10232558139534884
dessert,whole milk,0.0024059346387756467,0.02359152576355009,0.15792287642852368,0.10198300283286119
hamburger meat,other vegetables,0.002205440085544343,0.021853906302212123,0.12210118291786407,0.10091743119266056
pip fruit,rolls/buns,0.004945532313038829,0.049054334023925686,0.11000467820624206,0.1008174386920981
pip fruit,other vegetables,0.004945532313038829,0.049054334023925686,0.12210118291786407,0.1008174386920981
UHT-milk,other vegetables,0.002138608567800575,0.021386085678005748,0.12210118291786407,0.1
sliced cheese,other vegetables,0.001403461872619127,0.014034618726191272,0.12210118291786407,0.1
soft cheese,rolls/buns,0.0010024727661565194,0.010024727661565194,0.11000467820624206,0.1
