item,support count
whole milk,2363
other vegetables,1827
rolls/buns,1646
soda,1453
yogurt,1285
root vegetables,1041
tropical fruit,1014
bottled water,908
sausage,903
citrus fruit,795
pastry,774
pip fruit,734
shopping bags,712
canned beer,702
bottled beer,678
whipped/sour cream,654
newspapers,582
frankfurter,565
brown bread,563
domestic eggs,555
pork,555
butter,527
fruit/vegetable juice,509
beef,508
curd,504
margarine,482
coffee,473
frozen vegetables,419
chicken,417
white bread,359
cream cheese,354
dessert,353
chocolate,353
napkins,331
hamburger meat,327
berries,326
UHT-milk,320
onions,303
salty snack,281
waffles,277
long life bakery product,268
sugar,265
butter milk,263
ham,256
meat,252
frozen meals,251
beverages,248
specialty chocolate,239
misc. beverages,236
ice cream,227
oil,223
hard cheese,220
grapes,216
candy,215
sliced cheese,210
specialty bar,209
hygiene articles,205
chewing gum,180
cat food,177
white wine,175
herbs,158
red/blush wine,157
processed cheese,152
soft cheese,150
flour,146
semi-finished bread,142
dishes,135
pickled vegetables,134
detergent,129
packaged fruit/vegetables,127
baking powder,121
pasta,121
pot plants,117
canned fish,115
seasonal products,106
liquor,103
frozen fish,102
spread cheese,100
condensed milk,98
cake bar,92
mustard,92
frozen dessert,92
salt,89
pet care,85
canned vegetables,82
roll products,82
turkey,80
photo/film,79
mayonnaise,75
cling film/bags,74
dish cleaner,73
specialty cheese,72
frozen potato products,72
flower (seeds),69
sweet spreads,68
liquor (appetizer),67
dog food,67
candles,66
finished products,64
Instant food products,60
chocolate marshmallow,60
zwieback,60
instant coffee,59
vinegar,51
liver loaf,50
rice,49
soups,48
popcorn,48
curd cheese,46
sparkling wine,46
house keeping products,45
sauces,44
cereals,42
softener,41
spices,40
female sanitary products,40
brandy,38
male cosmetics,37
meat spreads,35
jam,34
dental care,33
nuts/prunes,33
ketchup,32
rum,32
cleaner,31
kitchen towels,30
artif. sweetener,29
light bulbs,29
specialty fat,29
fish,29
snack products,27
tea,27
potato products,23
organic sausage,22
nut snack,22
abrasive cleaner,22
tidbits,22
canned fruit,21
syrup,21
soap,20
skin care,20
prosecco,19
pudding powder,17
bathroom cleaner,17
cookware,17
flower soil/fertilizer,16
cocoa drinks,16
cooking chocolate,15
ready soups,15
