index,pair,support_count
1,"other vegetables, whole milk",222
2,"rolls/buns, whole milk",209
3,"soda, whole milk",174
4,"whole milk, yogurt",167
5,"other vegetables, rolls/buns",158
6,"other vegetables, soda",145
7,"sausage, whole milk",134
8,"tropical fruit, whole milk",123
9,"other vegetables, yogurt",121
10,"rolls/buns, soda",121
11,"rolls/buns, yogurt",117
12,"root vegetables, whole milk",113
13,"citrus fruit, whole milk",107
14,"bottled beer, whole milk",107
15,"bottled water, whole milk",107
16,"pip fruit, whole milk",99
17,"pastry, whole milk",97
18,"shopping bags, whole milk",95
19,"other vegetables, tropical fruit",94
20,"rolls/buns, tropical fruit",91
21,"other vegetables, sausage",90
22,"canned beer, whole milk",90
23,"sausage, soda",89
24,"soda, yogurt",87
25,"rolls/buns, root vegetables",86
26,"sausage, yogurt",86
27,"newspapers, whole milk",84
28,"bottled water, other vegetables",82
29,"soda, tropical fruit",81
30,"rolls/buns, sausage",80
31,"root vegetables, soda",79
32,"domestic eggs, whole milk",79
33,"frankfurter, whole milk",79
34,"other vegetables, root vegetables",79
35,"tropical fruit, yogurt",78
36,"frankfurter, other vegetables",77
37,"pork, whole milk",75
38,"other vegetables, pip fruit",74
39,"pip fruit, rolls/buns",74
40,"other vegetables, shopping bags",74
41,"citrus fruit, other vegetables",72
42,"bottled water, soda",72
43,"rolls/buns, shopping bags",71
44,"bottled water, rolls/buns",70
45,"bottled beer, other vegetables",70
46,"citrus fruit, rolls/buns",70
47,"butter, whole milk",70
48,"beef, whole milk",70
49,"whipped/sour cream, whole milk",69
50,"citrus fruit, yogurt",69
51,"brown bread, whole milk",67
52,"shopping bags, soda",66
53,"fruit/vegetable juice, whole milk",66
54,"root vegetables, yogurt",64
55,"canned beer, rolls/buns",63
56,"curd, whole milk",62
57,"other vegetables, whipped/sour cream",62
58,"pastry, soda",61
59,"margarine, whole milk",61
60,"bottled beer, rolls/buns",60
61,"canned beer, other vegetables",60
62,"other vegetables, pork",59
63,"pip fruit, soda",59
64,"pastry, rolls/buns",59
65,"canned beer, yogurt",58
66,"frozen vegetables, whole milk",57
67,"coffee, whole milk",57
68,"bottled water, yogurt",57
69,"fruit/vegetable juice, rolls/buns",56
70,"citrus fruit, soda",56
71,"other vegetables, pastry",55
72,"root vegetables, tropical fruit",55
73,"newspapers, other vegetables",55
74,"frankfurter, rolls/buns",55
75,"pastry, yogurt",54
76,"pip fruit, yogurt",54
77,"bottled water, tropical fruit",53
78,"shopping bags, yogurt",53
79,"curd, other vegetables",53
80,"domestic eggs, other vegetables",53
81,"bottled water, root vegetables",52
82,"chicken, whole milk",51
83,"domestic eggs, rolls/buns",51
84,"bottled beer, yogurt",51
85,"soda, whipped/sour cream",51
86,"pork, rolls/buns",51
87,"bottled beer, sausage",50
88,"root vegetables, sausage",50
89,"brown bread, rolls/buns",50
90,"root vegetables, shopping bags",50
91,"pastry, sausage",48
92,"margarine, other vegetables",48
93,"white bread, whole milk",47
94,"bottled water, sausage",47
95,"butter, soda",47
96,"canned beer, soda",47
97,"frozen vegetables, other vegetables",47
98,"hamburger meat, whole milk",46
99,"sausage, tropical fruit",46
100,"brown bread, other vegetables",46
101,"pork, yogurt",46
102,"frankfurter, soda",46
103,"pork, soda",45
104,"margarine, rolls/buns",45
105,"newspapers, rolls/buns",45
106,"fruit/vegetable juice, other vegetables",44
107,"curd, sausage",44
108,"onions, whole milk",44
109,"bottled beer, soda",44
110,"chocolate, whole milk",44
111,"rolls/buns, whipped/sour cream",44
112,"whipped/sour cream, yogurt",44
113,"citrus fruit, tropical fruit",43
114,"newspapers, yogurt",43
115,"cream cheese , whole milk",43
116,"butter, other vegetables",43
117,"pastry, root vegetables",43
118,"brown bread, soda",43
119,"butter, rolls/buns",43
120,"bottled water, pastry",43
121,"chicken, rolls/buns",43
122,"beef, other vegetables",42
123,"chocolate, rolls/buns",42
124,"curd, soda",42
125,"pastry, tropical fruit",42
126,"shopping bags, tropical fruit",41
127,"curd, rolls/buns",41
128,"ham, whole milk",41
129,"frozen vegetables, rolls/buns",41
130,"berries, other vegetables",40
131,"pip fruit, root vegetables",40
132,"other vegetables, white bread",39
133,"waffles, whole milk",39
134,"coffee, other vegetables",39
135,"bottled water, citrus fruit",39
136,"margarine, soda",39
137,"newspapers, root vegetables",38
138,"domestic eggs, soda",38
139,"bottled beer, tropical fruit",38
140,"frankfurter, yogurt",38
141,"canned beer, tropical fruit",38
142,"bottled beer, bottled water",38
143,"UHT-milk, whole milk",38
144,"canned beer, sausage",37
145,"coffee, soda",37
146,"bottled beer, root vegetables",37
147,"tropical fruit, whipped/sour cream",37
148,"sugar, whole milk",37
149,"root vegetables, whipped/sour cream",37
150,"coffee, rolls/buns",36
151,"long life bakery product, whole milk",36
152,"dessert, whole milk",36
153,"napkins, whole milk",36
154,"brown bread, canned beer",36
155,"newspapers, soda",35
156,"brown bread, yogurt",35
157,"berries, whole milk",34
158,"curd, yogurt",34
159,"meat, whole milk",33
160,"bottled water, frankfurter",33
161,"other vegetables, salty snack",33
162,"beef, yogurt",33
163,"frankfurter, root vegetables",33
164,"hamburger meat, other vegetables",33
165,"citrus fruit, root vegetables",33
166,"pastry, pip fruit",33
167,"fruit/vegetable juice, yogurt",33
168,"butter, yogurt",33
169,"chicken, other vegetables",33
170,"meat, other vegetables",32
171,"domestic eggs, tropical fruit",32
172,"napkins, other vegetables",32
173,"frozen vegetables, root vegetables",32
174,"fruit/vegetable juice, soda",32
175,"bottled water, domestic eggs",32
176,"cream cheese , other vegetables",32
177,"margarine, yogurt",32
178,"fruit/vegetable juice, tropical fruit",32
179,"frozen meals, other vegetables",32
180,"sausage, whipped/sour cream",32
181,"rolls/buns, white bread",32
182,"citrus fruit, pastry",32
183,"pip fruit, sausage",32
184,"chicken, soda",32
185,"UHT-milk, other vegetables",32
186,"candy, whole milk",32
187,"pip fruit, tropical fruit",31
188,"dessert, other vegetables",31
189,"bottled beer, pastry",31
190,"frozen vegetables, yogurt",31
191,"frozen vegetables, sausage",31
192,"coffee, yogurt",31
193,"citrus fruit, whipped/sour cream",31
194,"canned beer, root vegetables",31
195,"domestic eggs, yogurt",31
196,"bottled water, pip fruit",30
197,"frozen vegetables, soda",30
198,"brown bread, pastry",30
199,"bottled water, shopping bags",30
200,"dessert, rolls/buns",30
201,"newspapers, pastry",30
202,"butter, root vegetables",30
203,"coffee, root vegetables",30
204,"domestic eggs, root vegetables",30
205,"butter, citrus fruit",29
206,"ice cream, whole milk",29
207,"margarine, root vegetables",29
208,"frozen meals, whole milk",29
209,"butter, sausage",29
210,"sausage, shopping bags",29
211,"rolls/buns, salty snack",29
212,"salty snack, whole milk",29
213,"hamburger meat, rolls/buns",29
214,"oil, whole milk",29
215,"beverages, whole milk",29
216,"bottled water, curd",29
217,"grapes, whole milk",29
218,"margarine, sausage",28
219,"cream cheese , rolls/buns",28
220,"canned beer, newspapers",28
221,"pip fruit, shopping bags",28
222,"bottled beer, canned beer",28
223,"chocolate, other vegetables",28
224,"canned beer, pastry",28
225,"beverages, soda",28
226,"curd, tropical fruit",28
227,"hard cheese, whole milk",28
228,"newspapers, tropical fruit",28
229,"canned beer, shopping bags",28
230,"bottled water, butter",27
231,"newspapers, shopping bags",27
232,"citrus fruit, shopping bags",27
233,"chicken, yogurt",27
234,"fruit/vegetable juice, sausage",27
235,"beef, soda",27
236,"fruit/vegetable juice, root vegetables",27
237,"frankfurter, pip fruit",27
238,"beef, citrus fruit",27
239,"brown bread, sausage",27
240,"oil, soda",27
241,"domestic eggs, sausage",27
242,"UHT-milk, rolls/buns",27
243,"bottled water, whipped/sour cream",27
244,"bottled water, newspapers",27
245,"oil, other vegetables",27
246,"newspapers, sausage",27
247,"citrus fruit, frankfurter",26
248,"napkins, pastry",26
249,"onions, rolls/buns",26
250,"hygiene articles, whole milk",26
251,"frankfurter, pastry",26
252,"other vegetables, waffles",26
253,"napkins, yogurt",26
254,"beverages, other vegetables",26
255,"brown bread, citrus fruit",26
256,"bottled beer, newspapers",26
257,"napkins, rolls/buns",26
258,"ice cream, rolls/buns",26
259,"pork, root vegetables",26
260,"hamburger meat, yogurt",25
261,"chocolate, soda",25
262,"bottled beer, domestic eggs",25
263,"chewing gum, whole milk",25
264,"beef, newspapers",25
265,"semi-finished bread, whole milk",25
266,"other vegetables, specialty bar",25
267,"long life bakery product, rolls/buns",25
268,"brown bread, pip fruit",25
269,"canned beer, pork",25
270,"beef, root vegetables",25
271,"bottled beer, citrus fruit",25
272,"hard cheese, other vegetables",25
273,"brown bread, pork",25
274,"bottled beer, butter",25
275,"hard cheese, rolls/buns",25
276,"specialty bar, whole milk",25
277,"hamburger meat, soda",25
278,"other vegetables, specialty chocolate",25
279,"pip fruit, whipped/sour cream",25
280,"berries, rolls/buns",25
281,"bottled beer, frankfurter",25
282,"cat food, whole milk",25
283,"butter milk, whole milk",25
